layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(55, 55, 16)	(55, 55, 64)	193600	(3, 3)	(1, 1)	(1, 1)
CBR	(55, 55, 64)	(55, 55, 16)	48400	(1, 1)	(1, 1)	(0, 0)
CBR	(55, 55, 16)	(55, 55, 64)	193600	(1, 1)	(1, 1)	(0, 0)
M	(55, 55, 64)	(28, 28, 64)	50176	(2, 2)	(2, 2)	(0, 0)
CBR	(28, 28, 64)	(14, 14, 160)	31360	(1, 1)	(2, 2)	(0, 0)
CBR	(14, 14, 160)	(14, 14, 160)	31360	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 160)	(14, 14, 160)	31360	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 160)	(14, 14, 160)	31360	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 160)	(14, 14, 160)	31360	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 160)	(14, 14, 160)	31360	(1, 1)	(1, 1)	(0, 0)
CBR	(14, 14, 160)	(14, 14, 160)	31360	(1, 1)	(1, 1)	(0, 0)
CBR	(14, 14, 160)	(14, 14, 320)	62720	(3, 3)	(1, 1)	(1, 1)
