layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(56, 56, 48)	(56, 56, 48)	150528	(3, 3)	(1, 1)	(1, 1)
CBR	(56, 56, 48)	(56, 56, 48)	150528	(3, 3)	(1, 1)	(1, 1)
CBR	(56, 56, 48)	(56, 56, 48)	150528	(3, 3)	(1, 1)	(1, 1)
CBR	(56, 56, 48)	(56, 56, 48)	150528	(3, 3)	(1, 1)	(1, 1)
CBR	(56, 56, 48)	(56, 56, 16)	50176	(1, 1)	(1, 1)	(0, 0)
M	(56, 56, 16)	(28, 28, 16)	12544	(2, 2)	(2, 2)	(0, 0)
CBR	(28, 28, 16)	(28, 28, 32)	25088	(3, 3)	(1, 1)	(1, 1)
M	(28, 28, 32)	(14, 14, 32)	6272	(2, 2)	(2, 2)	(0, 0)
CBR	(14, 14, 32)	(14, 14, 128)	25088	(3, 3)	(1, 1)	(1, 1)
M	(14, 14, 128)	(7, 7, 128)	6272	(3, 3)	(2, 2)	(1, 1)
