layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CR	(28, 28, 256)	(28, 28, 256)	200704	(1, 1)	(1, 1)	(0, 0)
CR	(28, 28, 256)	(28, 28, 512)	401408	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 512)	(28, 28, 256)	200704	(1, 1)	(1, 1)	(0, 0)
C	(28, 28, 256)	(28, 28, 128)	100352	(1, 1)	(1, 1)	(0, 0)
CB	(28, 28, 128)	(28, 28, 192)	150528	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 192)	(28, 28, 96)	75264	(1, 1)	(1, 1)	(0, 0)
CR	(28, 28, 96)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
C	(28, 28, 128)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
C	(28, 28, 128)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
C	(28, 28, 128)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 128)	(28, 28, 512)	401408	(1, 1)	(1, 1)	(0, 0)
C	(28, 28, 512)	(14, 14, 512)	100352	(3, 3)	(2, 2)	(1, 1)
CBR	(14, 14, 512)	(14, 14, 256)	50176	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 256)	(14, 14, 512)	100352	(1, 1)	(1, 1)	(0, 0)
CB	(14, 14, 512)	(14, 14, 112)	21952	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 112)	(14, 14, 224)	43904	(3, 3)	(1, 1)	(1, 1)
M	(14, 14, 224)	(7, 7, 224)	10976	(2, 2)	(2, 2)	(0, 0)
