layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(56, 56, 64)	(56, 56, 128)	401408	(1, 1)	(1, 1)	(0, 0)
CBR	(56, 56, 128)	(56, 56, 256)	802816	(1, 1)	(1, 1)	(0, 0)
CBR	(56, 56, 256)	(56, 56, 64)	200704	(1, 1)	(1, 1)	(0, 0)
M	(56, 56, 64)	(28, 28, 64)	50176	(3, 3)	(2, 2)	(1, 1)
CR	(28, 28, 64)	(28, 28, 64)	50176	(3, 3)	(1, 1)	(1, 1)
CR	(28, 28, 64)	(28, 28, 64)	50176	(3, 3)	(1, 1)	(1, 1)
M	(28, 28, 64)	(14, 14, 64)	12544	(3, 3)	(2, 2)	(1, 1)
CBR	(14, 14, 64)	(14, 14, 384)	75264	(1, 1)	(1, 1)	(0, 0)
M	(14, 14, 384)	(14, 14, 384)	75264	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 384)	(14, 14, 64)	12544	(1, 1)	(1, 1)	(0, 0)
