layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CR	(56, 56, 256)	(28, 28, 512)	401408	(1, 1)	(2, 2)	(0, 0)
CBR	(28, 28, 512)	(28, 28, 256)	200704	(1, 1)	(1, 1)	(0, 0)
CBR	(28, 28, 256)	(28, 28, 512)	401408	(1, 1)	(1, 1)	(0, 0)
CR	(28, 28, 512)	(28, 28, 512)	401408	(3, 3)	(1, 1)	(1, 1)
CR	(28, 28, 512)	(28, 28, 512)	401408	(3, 3)	(1, 1)	(1, 1)
M	(28, 28, 512)	(14, 14, 512)	100352	(2, 2)	(2, 2)	(0, 0)
CB	(14, 14, 512)	(14, 14, 160)	31360	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 160)	(14, 14, 160)	31360	(3, 3)	(1, 1)	(1, 1)
C	(14, 14, 160)	(14, 14, 160)	31360	(3, 3)	(1, 1)	(1, 1)
C	(14, 14, 160)	(14, 14, 160)	31360	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 160)	(14, 14, 400)	78400	(1, 1)	(1, 1)	(0, 0)
M	(14, 14, 400)	(7, 7, 400)	19600	(3, 3)	(2, 2)	(0, 0)
CR	(7, 7, 400)	(7, 7, 400)	19600	(1, 1)	(1, 1)	(0, 0)
CR	(7, 7, 400)	(7, 7, 400)	19600	(1, 1)	(1, 1)	(0, 0)
CR	(7, 7, 400)	(7, 7, 400)	19600	(1, 1)	(1, 1)	(0, 0)
CR	(7, 7, 400)	(7, 7, 400)	19600	(1, 1)	(1, 1)	(0, 0)
C	(7, 7, 400)	(7, 7, 400)	19600	(3, 3)	(1, 1)	(1, 1)
C	(7, 7, 400)	(7, 7, 400)	19600	(3, 3)	(1, 1)	(1, 1)
C	(7, 7, 400)	(7, 7, 400)	19600	(3, 3)	(1, 1)	(1, 1)
