layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CR	(28, 28, 256)	(28, 28, 256)	200704	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 256)	(28, 28, 256)	200704	(1, 1)	(1, 1)	(0, 0)
CBR	(28, 28, 256)	(28, 28, 256)	200704	(1, 1)	(1, 1)	(0, 0)
CBR	(28, 28, 256)	(28, 28, 256)	200704	(1, 1)	(1, 1)	(0, 0)
CBR	(28, 28, 256)	(28, 28, 32)	25088	(1, 1)	(1, 1)	(0, 0)
M	(28, 28, 32)	(14, 14, 32)	6272	(3, 3)	(2, 2)	(0, 0)
CBR	(14, 14, 32)	(14, 14, 64)	12544	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 64)	(14, 14, 384)	75264	(1, 1)	(1, 1)	(0, 0)
CBR	(14, 14, 384)	(14, 14, 64)	12544	(1, 1)	(1, 1)	(0, 0)
M	(14, 14, 64)	(7, 7, 64)	3136	(3, 3)	(2, 2)	(0, 0)
CR	(7, 7, 64)	(7, 7, 384)	18816	(1, 1)	(1, 1)	(0, 0)
CR	(7, 7, 384)	(7, 7, 96)	4704	(1, 1)	(1, 1)	(0, 0)
CB	(7, 7, 96)	(7, 7, 576)	28224	(1, 1)	(1, 1)	(0, 0)
C	(7, 7, 576)	(7, 7, 576)	28224	(3, 3)	(1, 1)	(1, 1)
C	(7, 7, 576)	(7, 7, 576)	28224	(3, 3)	(1, 1)	(1, 1)
C	(7, 7, 576)	(7, 7, 576)	28224	(3, 3)	(1, 1)	(1, 1)
C	(7, 7, 576)	(7, 7, 576)	28224	(3, 3)	(1, 1)	(1, 1)
M	(7, 7, 576)	(4, 4, 576)	9216	(3, 3)	(2, 2)	(1, 1)
