layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(28, 28, 256)	(14, 14, 256)	50176	(3, 3)	(2, 2)	(1, 1)
CBR	(14, 14, 256)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 256)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 256)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 256)	(14, 14, 1024)	200704	(1, 1)	(1, 1)	(0, 0)
M	(14, 14, 1024)	(7, 7, 1024)	50176	(3, 3)	(2, 2)	(0, 0)
CBR	(7, 7, 1024)	(7, 7, 1024)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 1024)	(7, 7, 1024)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 1024)	(7, 7, 1024)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 1024)	(7, 7, 1024)	50176	(3, 3)	(1, 1)	(1, 1)
M	(7, 7, 1024)	(3, 3, 1024)	9216	(3, 3)	(2, 2)	(0, 0)
