layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(112, 112, 64)	(112, 112, 128)	1605632	(3, 3)	(1, 1)	(1, 1)
CBR	(112, 112, 128)	(112, 112, 128)	1605632	(3, 3)	(1, 1)	(1, 1)
CBR	(112, 112, 128)	(112, 112, 128)	1605632	(3, 3)	(1, 1)	(1, 1)
M	(112, 112, 128)	(56, 56, 128)	401408	(2, 2)	(2, 2)	(0, 0)
DBR	(56, 56, 128)	(28, 28, 128)	100352	(3, 3)	(2, 2)	(1, 1)
CBR	(28, 28, 128)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 128)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 128)	(14, 14, 256)	50176	(1, 1)	(2, 2)	(0, 0)
DBR	(14, 14, 256)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
DBR	(14, 14, 256)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 256)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 256)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 256)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 256)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 256)	(7, 7, 512)	25088	(3, 3)	(2, 2)	(1, 1)
CBR	(7, 7, 512)	(7, 7, 2048)	100352	(1, 1)	(1, 1)	(0, 0)
CBR	(7, 7, 2048)	(7, 7, 512)	25088	(1, 1)	(1, 1)	(0, 0)
M	(7, 7, 512)	(3, 3, 512)	4608	(3, 3)	(2, 2)	(0, 0)
