layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CR	(56, 56, 32)	(56, 56, 32)	100352	(1, 1)	(1, 1)	(0, 0)
CR	(56, 56, 32)	(56, 56, 32)	100352	(1, 1)	(1, 1)	(0, 0)
CR	(56, 56, 32)	(56, 56, 32)	100352	(1, 1)	(1, 1)	(0, 0)
CR	(56, 56, 32)	(56, 56, 32)	100352	(1, 1)	(1, 1)	(0, 0)
C	(56, 56, 32)	(56, 56, 64)	200704	(1, 1)	(1, 1)	(0, 0)
CR	(56, 56, 64)	(28, 28, 64)	50176	(3, 3)	(2, 2)	(1, 1)
C	(28, 28, 64)	(14, 14, 160)	31360	(1, 1)	(2, 2)	(0, 0)
CBR	(14, 14, 160)	(14, 14, 160)	31360	(3, 3)	(1, 1)	(1, 1)
M	(14, 14, 160)	(7, 7, 160)	7840	(2, 2)	(2, 2)	(0, 0)
CR	(7, 7, 160)	(7, 7, 320)	15680	(3, 3)	(1, 1)	(1, 1)
