layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(104, 104, 32)	(104, 104, 64)	692224	(3, 3)	(1, 1)	(1, 1)
M	(104, 104, 64)	(52, 52, 64)	173056	(2, 2)	(2, 2)	(0, 0)
CBR	(52, 52, 64)	(52, 52, 128)	346112	(3, 3)	(1, 1)	(1, 1)
M	(52, 52, 128)	(26, 26, 128)	86528	(2, 2)	(2, 2)	(0, 0)
CBR	(26, 26, 128)	(26, 26, 256)	173056	(3, 3)	(1, 1)	(1, 1)
CR	(26, 26, 256)	(26, 26, 256)	173056	(1, 1)	(1, 1)	(0, 0)
CR	(26, 26, 256)	(26, 26, 256)	173056	(1, 1)	(1, 1)	(0, 0)
CR	(26, 26, 256)	(26, 26, 256)	173056	(1, 1)	(1, 1)	(0, 0)
M	(26, 26, 256)	(13, 13, 256)	43264	(3, 3)	(2, 2)	(0, 0)
CR	(13, 13, 256)	(13, 13, 512)	86528	(3, 3)	(1, 1)	(1, 1)
CR	(13, 13, 512)	(13, 13, 1024)	173056	(3, 3)	(1, 1)	(1, 1)
CBR	(13, 13, 1024)	(13, 13, 256)	43264	(1, 1)	(1, 1)	(0, 0)
M	(13, 13, 256)	(7, 7, 256)	12544	(2, 2)	(2, 2)	(0, 0)
