layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CR	(112, 112, 32)	(56, 56, 32)	100352	(1, 1)	(2, 2)	(0, 0)
M	(56, 56, 32)	(28, 28, 32)	25088	(3, 3)	(2, 2)	(0, 0)
CR	(28, 28, 32)	(28, 28, 192)	150528	(1, 1)	(1, 1)	(0, 0)
CBR	(28, 28, 192)	(28, 28, 16)	12544	(1, 1)	(1, 1)	(0, 0)
CR	(28, 28, 16)	(28, 28, 32)	25088	(3, 3)	(1, 1)	(1, 1)
CR	(28, 28, 32)	(28, 28, 96)	75264	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 96)	(14, 14, 96)	18816	(3, 3)	(2, 2)	(1, 1)
M	(14, 14, 96)	(7, 7, 96)	4704	(3, 3)	(2, 2)	(1, 1)
CR	(7, 7, 96)	(7, 7, 576)	28224	(1, 1)	(1, 1)	(0, 0)
CBR	(7, 7, 576)	(7, 7, 576)	28224	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 576)	(7, 7, 576)	28224	(3, 3)	(1, 1)	(1, 1)
