layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(56, 56, 64)	(28, 28, 128)	100352	(1, 1)	(2, 2)	(0, 0)
M	(28, 28, 128)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
CR	(28, 28, 128)	(14, 14, 256)	50176	(3, 3)	(2, 2)	(1, 1)
CR	(14, 14, 256)	(14, 14, 512)	100352	(1, 1)	(1, 1)	(0, 0)
CBR	(14, 14, 512)	(14, 14, 256)	50176	(1, 1)	(1, 1)	(0, 0)
CBR	(14, 14, 256)	(14, 14, 1024)	200704	(1, 1)	(1, 1)	(0, 0)
M	(14, 14, 1024)	(14, 14, 1024)	200704	(3, 3)	(1, 1)	(1, 1)
C	(14, 14, 1024)	(14, 14, 512)	100352	(1, 1)	(1, 1)	(0, 0)
CB	(14, 14, 512)	(14, 14, 512)	100352	(1, 1)	(1, 1)	(0, 0)
CB	(14, 14, 512)	(14, 14, 512)	100352	(1, 1)	(1, 1)	(0, 0)
CB	(14, 14, 512)	(14, 14, 512)	100352	(1, 1)	(1, 1)	(0, 0)
CB	(14, 14, 512)	(14, 14, 512)	100352	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 512)	(7, 7, 1024)	50176	(1, 1)	(2, 2)	(0, 0)
CR	(7, 7, 1024)	(7, 7, 2048)	100352	(1, 1)	(1, 1)	(0, 0)
M	(7, 7, 2048)	(4, 4, 2048)	32768	(2, 2)	(2, 2)	(0, 0)
