layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CB	(28, 28, 512)	(14, 14, 1024)	200704	(1, 1)	(2, 2)	(0, 0)
CBR	(14, 14, 1024)	(14, 14, 256)	50176	(1, 1)	(1, 1)	(0, 0)
CBR	(14, 14, 256)	(14, 14, 512)	100352	(1, 1)	(1, 1)	(0, 0)
CB	(14, 14, 512)	(14, 14, 1024)	200704	(1, 1)	(1, 1)	(0, 0)
CBR	(14, 14, 1024)	(7, 7, 1024)	50176	(3, 3)	(2, 2)	(1, 1)
C	(7, 7, 1024)	(7, 7, 512)	25088	(1, 1)	(1, 1)	(0, 0)
CBR	(7, 7, 512)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 512)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 512)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 512)	(7, 7, 2048)	100352	(1, 1)	(1, 1)	(0, 0)
M	(7, 7, 2048)	(3, 3, 2048)	18432	(3, 3)	(2, 2)	(0, 0)
