layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
DBR	(56, 56, 256)	(28, 28, 256)	200704	(3, 3)	(2, 2)	(1, 1)
CBR	(28, 28, 256)	(28, 28, 256)	200704	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 256)	(28, 28, 512)	401408	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 512)	(28, 28, 512)	401408	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 512)	(28, 28, 512)	401408	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 512)	(28, 28, 512)	401408	(3, 3)	(1, 1)	(1, 1)
DBR	(28, 28, 512)	(14, 14, 512)	100352	(3, 3)	(2, 2)	(1, 1)
CBR	(14, 14, 512)	(14, 14, 160)	31360	(1, 1)	(1, 1)	(0, 0)
M	(14, 14, 160)	(7, 7, 160)	7840	(3, 3)	(2, 2)	(1, 1)
CBR	(7, 7, 160)	(7, 7, 320)	15680	(3, 3)	(1, 1)	(1, 1)
M	(7, 7, 320)	(3, 3, 320)	2880	(3, 3)	(2, 2)	(0, 0)
