layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(56, 56, 32)	(56, 56, 144)	451584	(1, 1)	(1, 1)	(0, 0)
M	(56, 56, 144)	(28, 28, 144)	112896	(3, 3)	(2, 2)	(0, 0)
CBR	(28, 28, 144)	(28, 28, 144)	112896	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 144)	(28, 28, 144)	112896	(3, 3)	(1, 1)	(1, 1)
DBR	(28, 28, 144)	(14, 14, 144)	28224	(3, 3)	(2, 2)	(1, 1)
CBR	(14, 14, 144)	(14, 14, 288)	56448	(3, 3)	(1, 1)	(1, 1)
M	(14, 14, 288)	(7, 7, 288)	14112	(2, 2)	(2, 2)	(0, 0)
CBR	(7, 7, 288)	(7, 7, 288)	14112	(3, 3)	(1, 1)	(1, 1)
M	(7, 7, 288)	(7, 7, 288)	14112	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 288)	(7, 7, 48)	2352	(1, 1)	(1, 1)	(0, 0)
CBR	(7, 7, 48)	(7, 7, 128)	6272	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 128)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 512)	(7, 7, 128)	6272	(3, 3)	(1, 1)	(1, 1)
