layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(56, 56, 64)	(28, 28, 128)	100352	(1, 1)	(2, 2)	(0, 0)
CBR	(28, 28, 128)	(28, 28, 32)	25088	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 32)	(28, 28, 96)	75264	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 96)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 128)	(28, 28, 64)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 64)	(14, 14, 256)	50176	(3, 3)	(2, 2)	(1, 1)
M	(14, 14, 256)	(7, 7, 256)	12544	(3, 3)	(2, 2)	(1, 1)
CBR	(7, 7, 256)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 512)	(7, 7, 128)	6272	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 128)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
DBR	(7, 7, 512)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
DBR	(7, 7, 512)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
DBR	(7, 7, 512)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 512)	(7, 7, 256)	12544	(3, 3)	(1, 1)	(1, 1)
M	(7, 7, 256)	(4, 4, 256)	4096	(3, 3)	(2, 2)	(1, 1)
