layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(112, 112, 32)	(112, 112, 32)	401408	(3, 3)	(1, 1)	(1, 1)
CBR	(112, 112, 32)	(56, 56, 32)	100352	(3, 3)	(2, 2)	(1, 1)
CBR	(56, 56, 32)	(56, 56, 64)	200704	(3, 3)	(1, 1)	(1, 1)
CBR	(56, 56, 64)	(28, 28, 64)	50176	(3, 3)	(2, 2)	(1, 1)
CBR	(28, 28, 64)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
M	(28, 28, 128)	(14, 14, 128)	25088	(2, 2)	(2, 2)	(0, 0)
CBR	(14, 14, 128)	(7, 7, 512)	25088	(3, 3)	(2, 2)	(1, 1)
CBR	(7, 7, 512)	(7, 7, 256)	12544	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 256)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 512)	(7, 7, 128)	6272	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 128)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
DBR	(7, 7, 512)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
DBR	(7, 7, 512)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 512)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 512)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 512)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 512)	(7, 7, 1024)	50176	(1, 1)	(1, 1)	(0, 0)
M	(7, 7, 1024)	(4, 4, 1024)	16384	(2, 2)	(2, 2)	(0, 0)
