layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(56, 56, 48)	(56, 56, 48)	150528	(3, 3)	(1, 1)	(1, 1)
CBR	(56, 56, 48)	(56, 56, 16)	50176	(1, 1)	(1, 1)	(0, 0)
DBR	(56, 56, 16)	(56, 56, 16)	50176	(3, 3)	(1, 1)	(1, 1)
DBR	(56, 56, 16)	(56, 56, 16)	50176	(3, 3)	(1, 1)	(1, 1)
DBR	(56, 56, 16)	(56, 56, 16)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(56, 56, 16)	(28, 28, 128)	100352	(3, 3)	(2, 2)	(1, 1)
CBR	(28, 28, 128)	(28, 28, 32)	25088	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 32)	(14, 14, 256)	50176	(1, 1)	(2, 2)	(0, 0)
M	(14, 14, 256)	(7, 7, 256)	12544	(3, 3)	(2, 2)	(1, 1)
CBR	(7, 7, 256)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 512)	(7, 7, 256)	12544	(3, 3)	(1, 1)	(1, 1)
