layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
DBR	(112, 112, 32)	(112, 112, 32)	401408	(3, 3)	(1, 1)	(1, 1)
DBR	(112, 112, 32)	(112, 112, 32)	401408	(3, 3)	(1, 1)	(1, 1)
CBR	(112, 112, 32)	(112, 112, 16)	200704	(1, 1)	(1, 1)	(0, 0)
M	(112, 112, 16)	(56, 56, 16)	50176	(2, 2)	(2, 2)	(0, 0)
CBR	(56, 56, 16)	(28, 28, 128)	100352	(3, 3)	(2, 2)	(1, 1)
CBR	(28, 28, 128)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
M	(28, 28, 128)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 128)	(14, 14, 128)	25088	(3, 3)	(2, 2)	(1, 1)
CBR	(14, 14, 128)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 256)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 256)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 256)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
M	(14, 14, 256)	(7, 7, 256)	12544	(3, 3)	(2, 2)	(0, 0)
CBR	(7, 7, 256)	(7, 7, 512)	25088	(3, 3)	(1, 1)	(1, 1)
M	(7, 7, 512)	(3, 3, 512)	4608	(3, 3)	(2, 2)	(0, 0)
