layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CB	(55, 55, 16)	(55, 55, 64)	193600	(1, 1)	(1, 1)	(0, 0)
CBR	(55, 55, 64)	(55, 55, 16)	48400	(1, 1)	(1, 1)	(0, 0)
M	(55, 55, 16)	(28, 28, 16)	12544	(3, 3)	(2, 2)	(1, 1)
CR	(28, 28, 16)	(28, 28, 96)	75264	(1, 1)	(1, 1)	(0, 0)
CR	(28, 28, 96)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
M	(28, 28, 128)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
CR	(28, 28, 128)	(14, 14, 256)	50176	(1, 1)	(2, 2)	(0, 0)
CB	(14, 14, 256)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
CR	(14, 14, 256)	(14, 14, 1024)	200704	(1, 1)	(1, 1)	(0, 0)
CBR	(14, 14, 1024)	(14, 14, 512)	100352	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 512)	(14, 14, 128)	25088	(1, 1)	(1, 1)	(0, 0)
CBR	(14, 14, 128)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 256)	(7, 7, 512)	25088	(3, 3)	(2, 2)	(1, 1)
M	(7, 7, 512)	(4, 4, 512)	8192	(3, 3)	(2, 2)	(1, 1)
