layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(56, 56, 32)	(56, 56, 32)	100352	(1, 1)	(1, 1)	(0, 0)
CBR	(56, 56, 32)	(56, 56, 32)	100352	(1, 1)	(1, 1)	(0, 0)
CBR	(56, 56, 32)	(56, 56, 32)	100352	(1, 1)	(1, 1)	(0, 0)
CBR	(56, 56, 32)	(56, 56, 32)	100352	(1, 1)	(1, 1)	(0, 0)
CB	(56, 56, 32)	(56, 56, 64)	200704	(1, 1)	(1, 1)	(0, 0)
M	(56, 56, 64)	(28, 28, 64)	50176	(2, 2)	(2, 2)	(0, 0)
CR	(28, 28, 64)	(28, 28, 64)	50176	(1, 1)	(1, 1)	(0, 0)
CR	(28, 28, 64)	(28, 28, 64)	50176	(1, 1)	(1, 1)	(0, 0)
CR	(28, 28, 64)	(28, 28, 64)	50176	(1, 1)	(1, 1)	(0, 0)
CR	(28, 28, 64)	(28, 28, 64)	50176	(1, 1)	(1, 1)	(0, 0)
CBR	(28, 28, 64)	(28, 28, 64)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 64)	(28, 28, 64)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 64)	(28, 28, 160)	125440	(1, 1)	(1, 1)	(0, 0)
CB	(28, 28, 160)	(14, 14, 160)	31360	(3, 3)	(2, 2)	(1, 1)
M	(14, 14, 160)	(14, 14, 160)	31360	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 160)	(14, 14, 160)	31360	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 160)	(14, 14, 160)	31360	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 160)	(14, 14, 320)	62720	(3, 3)	(1, 1)	(1, 1)
