layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CR	(56, 56, 32)	(56, 56, 32)	100352	(1, 1)	(1, 1)	(0, 0)
M	(56, 56, 32)	(28, 28, 32)	25088	(2, 2)	(2, 2)	(0, 0)
C	(28, 28, 32)	(28, 28, 192)	150528	(1, 1)	(1, 1)	(0, 0)
M	(28, 28, 192)	(14, 14, 192)	37632	(3, 3)	(2, 2)	(0, 0)
CR	(14, 14, 192)	(14, 14, 192)	37632	(3, 3)	(1, 1)	(1, 1)
CR	(14, 14, 192)	(14, 14, 192)	37632	(3, 3)	(1, 1)	(1, 1)
CR	(14, 14, 192)	(14, 14, 192)	37632	(3, 3)	(1, 1)	(1, 1)
CR	(14, 14, 192)	(14, 14, 192)	37632	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 192)	(14, 14, 64)	12544	(1, 1)	(1, 1)	(0, 0)
CB	(14, 14, 64)	(14, 14, 384)	75264	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 384)	(14, 14, 64)	12544	(1, 1)	(1, 1)	(0, 0)
M	(14, 14, 64)	(7, 7, 64)	3136	(3, 3)	(2, 2)	(1, 1)
CBR	(7, 7, 64)	(7, 7, 384)	18816	(1, 1)	(1, 1)	(0, 0)
CBR	(7, 7, 384)	(7, 7, 384)	18816	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 384)	(7, 7, 384)	18816	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 384)	(7, 7, 64)	3136	(1, 1)	(1, 1)	(0, 0)
M	(7, 7, 64)	(4, 4, 64)	1024	(2, 2)	(2, 2)	(0, 0)
