layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(28, 28, 32)	(28, 28, 96)	75264	(3, 3)	(1, 1)	(1, 1)
C	(28, 28, 96)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
CR	(28, 28, 128)	(28, 28, 512)	401408	(1, 1)	(1, 1)	(0, 0)
CB	(28, 28, 512)	(14, 14, 512)	100352	(3, 3)	(2, 2)	(1, 1)
C	(14, 14, 512)	(14, 14, 144)	28224	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 144)	(14, 14, 288)	56448	(3, 3)	(1, 1)	(1, 1)
M	(14, 14, 288)	(7, 7, 288)	14112	(3, 3)	(2, 2)	(1, 1)
CR	(7, 7, 288)	(7, 7, 48)	2352	(1, 1)	(1, 1)	(0, 0)
CBR	(7, 7, 48)	(7, 7, 288)	14112	(1, 1)	(1, 1)	(0, 0)
M	(7, 7, 288)	(4, 4, 288)	4608	(3, 3)	(2, 2)	(1, 1)
