layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(28, 28, 16)	(28, 28, 32)	25088	(3, 3)	(1, 1)	(1, 1)
CB	(28, 28, 32)	(28, 28, 96)	75264	(3, 3)	(1, 1)	(1, 1)
CR	(28, 28, 96)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 128)	(28, 28, 512)	401408	(1, 1)	(1, 1)	(0, 0)
M	(28, 28, 512)	(14, 14, 512)	100352	(3, 3)	(2, 2)	(0, 0)
CR	(14, 14, 512)	(14, 14, 512)	100352	(3, 3)	(1, 1)	(1, 1)
CR	(14, 14, 512)	(14, 14, 512)	100352	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 512)	(14, 14, 32)	6272	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 32)	(14, 14, 192)	37632	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 192)	(14, 14, 32)	6272	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 32)	(14, 14, 128)	25088	(3, 3)	(1, 1)	(1, 1)
CB	(14, 14, 128)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
CR	(14, 14, 256)	(7, 7, 512)	25088	(3, 3)	(2, 2)	(1, 1)
CR	(7, 7, 512)	(7, 7, 1024)	50176	(1, 1)	(1, 1)	(0, 0)
CR	(7, 7, 1024)	(4, 4, 1024)	16384	(3, 3)	(2, 2)	(1, 1)
