layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CR	(56, 56, 16)	(56, 56, 16)	50176	(3, 3)	(1, 1)	(1, 1)
CR	(56, 56, 16)	(56, 56, 16)	50176	(3, 3)	(1, 1)	(1, 1)
CR	(56, 56, 16)	(56, 56, 48)	150528	(1, 1)	(1, 1)	(0, 0)
CR	(56, 56, 48)	(56, 56, 48)	150528	(3, 3)	(1, 1)	(1, 1)
CR	(56, 56, 48)	(56, 56, 48)	150528	(3, 3)	(1, 1)	(1, 1)
M	(56, 56, 48)	(56, 56, 48)	150528	(3, 3)	(1, 1)	(1, 1)
CB	(56, 56, 48)	(56, 56, 16)	50176	(1, 1)	(1, 1)	(0, 0)
M	(56, 56, 16)	(28, 28, 16)	12544	(2, 2)	(2, 2)	(0, 0)
CR	(28, 28, 16)	(28, 28, 32)	25088	(3, 3)	(1, 1)	(1, 1)
CR	(28, 28, 32)	(28, 28, 96)	75264	(3, 3)	(1, 1)	(1, 1)
M	(28, 28, 96)	(14, 14, 96)	18816	(2, 2)	(2, 2)	(0, 0)
CBR	(14, 14, 96)	(14, 14, 208)	40768	(3, 3)	(1, 1)	(1, 1)
