layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CR	(26, 26, 128)	(26, 26, 256)	173056	(3, 3)	(1, 1)	(1, 1)
CBR	(26, 26, 256)	(26, 26, 256)	173056	(1, 1)	(1, 1)	(0, 0)
CBR	(26, 26, 256)	(26, 26, 256)	173056	(1, 1)	(1, 1)	(0, 0)
M	(26, 26, 256)	(13, 13, 256)	43264	(3, 3)	(2, 2)	(0, 0)
CR	(13, 13, 256)	(13, 13, 512)	86528	(3, 3)	(1, 1)	(1, 1)
M	(13, 13, 512)	(7, 7, 512)	25088	(3, 3)	(2, 2)	(1, 1)
CB	(7, 7, 512)	(7, 7, 1024)	50176	(1, 1)	(1, 1)	(0, 0)
CR	(7, 7, 1024)	(7, 7, 1024)	50176	(1, 1)	(1, 1)	(0, 0)
CR	(7, 7, 1024)	(7, 7, 1024)	50176	(1, 1)	(1, 1)	(0, 0)
CR	(7, 7, 1024)	(7, 7, 1024)	50176	(1, 1)	(1, 1)	(0, 0)
CBR	(7, 7, 1024)	(7, 7, 2048)	100352	(1, 1)	(1, 1)	(0, 0)
CBR	(7, 7, 2048)	(7, 7, 1024)	50176	(1, 1)	(1, 1)	(0, 0)
M	(7, 7, 1024)	(4, 4, 1024)	16384	(2, 2)	(2, 2)	(0, 0)
