layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CB	(56, 56, 64)	(56, 56, 192)	602112	(3, 3)	(1, 1)	(1, 1)
M	(56, 56, 192)	(28, 28, 192)	150528	(3, 3)	(2, 2)	(0, 0)
CB	(28, 28, 192)	(28, 28, 16)	12544	(1, 1)	(1, 1)	(0, 0)
CR	(28, 28, 16)	(28, 28, 32)	25088	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 32)	(28, 28, 96)	75264	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 96)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
M	(28, 28, 128)	(14, 14, 128)	25088	(2, 2)	(2, 2)	(0, 0)
CR	(14, 14, 128)	(14, 14, 256)	50176	(3, 3)	(1, 1)	(1, 1)
CR	(14, 14, 256)	(14, 14, 1024)	200704	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 1024)	(14, 14, 1024)	200704	(1, 1)	(1, 1)	(0, 0)
C	(14, 14, 1024)	(14, 14, 256)	50176	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 256)	(14, 14, 512)	100352	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 512)	(14, 14, 32)	6272	(1, 1)	(1, 1)	(0, 0)
CB	(14, 14, 32)	(14, 14, 192)	37632	(1, 1)	(1, 1)	(0, 0)
M	(14, 14, 192)	(7, 7, 192)	9408	(2, 2)	(2, 2)	(0, 0)
CBR	(7, 7, 192)	(7, 7, 384)	18816	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 384)	(7, 7, 384)	18816	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 384)	(7, 7, 384)	18816	(3, 3)	(1, 1)	(1, 1)
CR	(7, 7, 384)	(7, 7, 64)	3136	(1, 1)	(1, 1)	(0, 0)
CBR	(7, 7, 64)	(7, 7, 384)	18816	(1, 1)	(1, 1)	(0, 0)
M	(7, 7, 384)	(4, 4, 384)	6144	(2, 2)	(2, 2)	(0, 0)
