layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(112, 112, 32)	(56, 56, 32)	100352	(1, 1)	(2, 2)	(0, 0)
M	(56, 56, 32)	(28, 28, 32)	25088	(2, 2)	(2, 2)	(0, 0)
CBR	(28, 28, 32)	(28, 28, 192)	150528	(1, 1)	(1, 1)	(0, 0)
CBR	(28, 28, 192)	(28, 28, 32)	25088	(1, 1)	(1, 1)	(0, 0)
CR	(28, 28, 32)	(28, 28, 96)	75264	(3, 3)	(1, 1)	(1, 1)
CB	(28, 28, 96)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
M	(28, 28, 128)	(28, 28, 128)	100352	(3, 3)	(1, 1)	(1, 1)
CB	(28, 28, 128)	(14, 14, 256)	50176	(1, 1)	(2, 2)	(0, 0)
CBR	(14, 14, 256)	(14, 14, 1024)	200704	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 1024)	(14, 14, 1024)	200704	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 1024)	(14, 14, 1024)	200704	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 1024)	(14, 14, 1024)	200704	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 1024)	(7, 7, 1024)	50176	(3, 3)	(2, 2)	(1, 1)
CBR	(7, 7, 1024)	(7, 7, 512)	25088	(1, 1)	(1, 1)	(0, 0)
M	(7, 7, 512)	(3, 3, 512)	4608	(3, 3)	(2, 2)	(0, 0)
