layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(56, 56, 256)	(56, 56, 256)	802816	(3, 3)	(1, 1)	(1, 1)
CBR	(56, 56, 256)	(56, 56, 256)	802816	(3, 3)	(1, 1)	(1, 1)
CB	(56, 56, 256)	(56, 56, 64)	200704	(1, 1)	(1, 1)	(0, 0)
CR	(56, 56, 64)	(56, 56, 64)	200704	(1, 1)	(1, 1)	(0, 0)
CR	(56, 56, 64)	(28, 28, 128)	100352	(1, 1)	(2, 2)	(0, 0)
CBR	(28, 28, 128)	(14, 14, 256)	50176	(1, 1)	(2, 2)	(0, 0)
CBR	(14, 14, 256)	(14, 14, 512)	100352	(1, 1)	(1, 1)	(0, 0)
M	(14, 14, 512)	(14, 14, 512)	100352	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 512)	(14, 14, 144)	28224	(1, 1)	(1, 1)	(0, 0)
CBR	(14, 14, 144)	(14, 14, 288)	56448	(3, 3)	(1, 1)	(1, 1)
