layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(56, 56, 128)	(56, 56, 256)	802816	(1, 1)	(1, 1)	(0, 0)
CB	(56, 56, 256)	(56, 56, 256)	802816	(3, 3)	(1, 1)	(1, 1)
CB	(56, 56, 256)	(56, 56, 256)	802816	(3, 3)	(1, 1)	(1, 1)
C	(56, 56, 256)	(28, 28, 256)	200704	(3, 3)	(2, 2)	(1, 1)
CR	(28, 28, 256)	(14, 14, 256)	50176	(3, 3)	(2, 2)	(1, 1)
CR	(14, 14, 256)	(14, 14, 512)	100352	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 512)	(14, 14, 512)	100352	(3, 3)	(1, 1)	(1, 1)
CR	(14, 14, 512)	(14, 14, 512)	100352	(3, 3)	(1, 1)	(1, 1)
CR	(14, 14, 512)	(14, 14, 512)	100352	(3, 3)	(1, 1)	(1, 1)
CR	(14, 14, 512)	(14, 14, 512)	100352	(3, 3)	(1, 1)	(1, 1)
CBR	(14, 14, 512)	(14, 14, 32)	6272	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 32)	(14, 14, 64)	12544	(3, 3)	(1, 1)	(1, 1)
CR	(14, 14, 64)	(14, 14, 384)	75264	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 384)	(14, 14, 64)	12544	(1, 1)	(1, 1)	(0, 0)
