layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(28, 28, 32)	(28, 28, 192)	150528	(1, 1)	(1, 1)	(0, 0)
C	(28, 28, 192)	(28, 28, 16)	12544	(1, 1)	(1, 1)	(0, 0)
M	(28, 28, 16)	(14, 14, 16)	3136	(3, 3)	(2, 2)	(1, 1)
CR	(14, 14, 16)	(14, 14, 48)	9408	(3, 3)	(1, 1)	(1, 1)
CB	(14, 14, 48)	(14, 14, 16)	3136	(1, 1)	(1, 1)	(0, 0)
CR	(14, 14, 16)	(14, 14, 48)	9408	(1, 1)	(1, 1)	(0, 0)
M	(14, 14, 48)	(7, 7, 48)	2352	(3, 3)	(2, 2)	(1, 1)
CBR	(7, 7, 48)	(7, 7, 288)	14112	(1, 1)	(1, 1)	(0, 0)
CB	(7, 7, 288)	(7, 7, 48)	2352	(1, 1)	(1, 1)	(0, 0)
C	(7, 7, 48)	(7, 7, 128)	6272	(3, 3)	(1, 1)	(1, 1)
M	(7, 7, 128)	(4, 4, 128)	2048	(2, 2)	(2, 2)	(0, 0)
