layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(112, 112, 32)	(112, 112, 32)	401408	(3, 3)	(1, 1)	(1, 1)
CBR	(112, 112, 32)	(112, 112, 32)	401408	(3, 3)	(1, 1)	(1, 1)
CBR	(112, 112, 32)	(112, 112, 32)	401408	(3, 3)	(1, 1)	(1, 1)
CBR	(112, 112, 32)	(56, 56, 32)	100352	(3, 3)	(2, 2)	(1, 1)
CBR	(56, 56, 32)	(56, 56, 64)	200704	(1, 1)	(1, 1)	(0, 0)
CBR	(56, 56, 64)	(56, 56, 192)	602112	(3, 3)	(1, 1)	(1, 1)
M	(56, 56, 192)	(28, 28, 192)	150528	(2, 2)	(2, 2)	(0, 0)
CBR	(28, 28, 192)	(28, 28, 64)	50176	(1, 1)	(1, 1)	(0, 0)
CBR	(28, 28, 64)	(14, 14, 160)	31360	(1, 1)	(2, 2)	(0, 0)
M	(14, 14, 160)	(7, 7, 160)	7840	(3, 3)	(2, 2)	(1, 1)
CBR	(7, 7, 160)	(7, 7, 320)	15680	(3, 3)	(1, 1)	(1, 1)
