layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(56, 56, 256)	(28, 28, 256)	200704	(3, 3)	(2, 2)	(1, 1)
CBR	(28, 28, 256)	(28, 28, 512)	401408	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 512)	(28, 28, 128)	100352	(1, 1)	(1, 1)	(0, 0)
CBR	(28, 28, 128)	(28, 28, 192)	150528	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 192)	(28, 28, 64)	50176	(1, 1)	(1, 1)	(0, 0)
CBR	(28, 28, 64)	(28, 28, 64)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 64)	(28, 28, 64)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 64)	(28, 28, 64)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 64)	(28, 28, 64)	50176	(3, 3)	(1, 1)	(1, 1)
CBR	(28, 28, 64)	(14, 14, 160)	31360	(1, 1)	(2, 2)	(0, 0)
CBR	(14, 14, 160)	(14, 14, 160)	31360	(1, 1)	(1, 1)	(0, 0)
CBR	(14, 14, 160)	(14, 14, 320)	62720	(3, 3)	(1, 1)	(1, 1)
