layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(55, 55, 16)	(55, 55, 64)	193600	(1, 1)	(1, 1)	(0, 0)
M	(55, 55, 64)	(28, 28, 64)	50176	(3, 3)	(2, 2)	(1, 1)
CBR	(28, 28, 64)	(28, 28, 64)	50176	(3, 3)	(1, 1)	(1, 1)
M	(28, 28, 64)	(14, 14, 64)	12544	(3, 3)	(2, 2)	(0, 0)
CBR	(14, 14, 64)	(14, 14, 384)	75264	(1, 1)	(1, 1)	(0, 0)
M	(14, 14, 384)	(7, 7, 384)	18816	(2, 2)	(2, 2)	(0, 0)
CBR	(7, 7, 384)	(7, 7, 384)	18816	(3, 3)	(1, 1)	(1, 1)
CBR	(7, 7, 384)	(7, 7, 64)	3136	(1, 1)	(1, 1)	(0, 0)
CBR	(7, 7, 64)	(7, 7, 384)	18816	(1, 1)	(1, 1)	(0, 0)
M	(7, 7, 384)	(4, 4, 384)	6144	(3, 3)	(2, 2)	(1, 1)
