layer_type	ifm_dim	ofm_dim	output_vol	kernel_dim	stride	pad
CBR	(224, 224, 64)	(224, 224, 64)	3211264	(3, 3)	(1, 1)	(1, 1)
CBR	(224, 224, 64)	(224, 224, 64)	3211264	(3, 3)	(1, 1)	(1, 1)
CBR	(224, 224, 64)	(224, 224, 64)	3211264	(3, 3)	(1, 1)	(1, 1)
CBR	(224, 224, 64)	(224, 224, 64)	3211264	(3, 3)	(1, 1)	(1, 1)
M	(224, 224, 64)	(112, 112, 64)	802816	(3, 3)	(2, 2)	(1, 1)
CBR	(112, 112, 64)	(112, 112, 128)	1605632	(3, 3)	(1, 1)	(1, 1)
M	(112, 112, 128)	(56, 56, 128)	401408	(2, 2)	(2, 2)	(0, 0)
CBR	(56, 56, 128)	(28, 28, 128)	100352	(3, 3)	(2, 2)	(1, 1)
CBR	(28, 28, 128)	(14, 14, 256)	50176	(3, 3)	(2, 2)	(1, 1)
CBR	(14, 14, 256)	(7, 7, 512)	25088	(1, 1)	(2, 2)	(0, 0)
M	(7, 7, 512)	(4, 4, 512)	8192	(3, 3)	(2, 2)	(1, 1)
